hidden,latent,layers,nonlinearity,layertype,memorysize,k,Î²,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,model,dataset
32,8,3,relu,Dense,32,16,0.05,1,0.4,1.0,0.11924342891254036,0.14965520744064265,1.0,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,16,0.05,2,0.0,0.9788732394366197,0.11924342891254036,0.14965520744064265,1.0,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,16,0.05,3,0.0,0.9788732394366196,0.11924342891254036,0.14965520744064265,1.0,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,16,0.05,4,0.0,0.9823943661971831,0.11924342891254036,0.14965520744064265,1.0,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,16,0.05,5,0.3333333333333333,0.9964788732394366,0.11924342891254036,0.14965520744064265,1.0,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,16,0.05,1,0.4,0.6091549295774649,0.1097662137749773,0.12460194540810335,0.8626760563380281,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,16,0.05,2,0.8571428571428571,0.8573943661971831,0.1097662137749773,0.12460194540810335,0.8626760563380281,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,16,0.05,3,0.0,0.8538732394366196,0.1097662137749773,0.12460194540810335,0.8626760563380281,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,16,0.05,4,0.5714285714285714,0.8151408450704225,0.1097662137749773,0.12460194540810335,0.8626760563380281,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,16,0.05,5,0.3333333333333333,0.9295774647887323,0.1097662137749773,0.12460194540810335,0.8626760563380281,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.05,1,0.0,0.45774647887323944,0.11482480068633981,0.15778262876353333,0.8714788732394366,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.05,2,0.0,0.7147887323943661,0.11482480068633981,0.15778262876353333,0.8714788732394366,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.05,3,0.0,0.9788732394366197,0.11482480068633981,0.15778262876353333,0.8714788732394366,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.05,4,0.0,0.971830985915493,0.11482480068633981,0.15778262876353333,0.8714788732394366,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.05,5,0.4,0.9929577464788732,0.11482480068633981,0.15778262876353333,0.8714788732394366,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,16,0.05,1,0.0,0.5,0.11226552293509534,0.14115343260589425,0.8714788732394366,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,16,0.05,2,0.0,0.6197183098591549,0.11226552293509534,0.14115343260589425,0.8714788732394366,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,16,0.05,3,0.0,0.75,0.11226552293509534,0.14115343260589425,0.8714788732394366,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,16,0.05,4,0.4,1.0,0.11226552293509534,0.14115343260589425,0.8714788732394366,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,16,0.05,5,0.0,0.8732394366197184,0.11226552293509534,0.14115343260589425,0.8714788732394366,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,32,0.05,1,0.0,0.6161971830985915,0.10552834480280822,0.1428822852837099,0.9894366197183099,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,32,0.05,2,0.3333333333333333,0.8802816901408451,0.10552834480280822,0.1428822852837099,0.9894366197183099,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,32,0.05,3,0.5,0.9084507042253521,0.10552834480280822,0.1428822852837099,0.9894366197183099,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,32,0.05,4,0.0,0.8661971830985915,0.10552834480280822,0.1428822852837099,0.9894366197183099,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,32,0.05,5,0.3333333333333333,0.9154929577464789,0.10552834480280822,0.1428822852837099,0.9894366197183099,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.05,1,0.0,0.5105633802816901,0.11369301527005768,0.13005031011874593,0.7464788732394366,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.05,2,0.3333333333333333,0.852112676056338,0.11369301527005768,0.13005031011874593,0.7464788732394366,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.05,3,0.0,0.9683098591549295,0.11369301527005768,0.13005031011874593,0.7464788732394366,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.05,4,0.6666666666666666,0.9330985915492958,0.11369301527005768,0.13005031011874593,0.7464788732394366,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.05,5,0.75,0.9366197183098592,0.11369301527005768,0.13005031011874593,0.7464788732394366,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.05,1,0.0,0.8433098591549295,0.111853569471741,0.14596015393459982,0.7429577464788732,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.05,2,0.0,0.9823943661971831,0.111853569471741,0.14596015393459982,0.7429577464788732,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.05,3,0.4,0.9859154929577465,0.111853569471741,0.14596015393459982,0.7429577464788732,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.05,4,0.8571428571428571,0.9894366197183098,0.111853569471741,0.14596015393459982,0.7429577464788732,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.05,5,0.4,0.9823943661971831,0.111853569471741,0.14596015393459982,0.7429577464788732,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,32,0.05,1,0.0,0.5985915492957746,0.12841506347282042,0.18199297431079212,0.8732394366197184,NaN,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,32,0.05,2,0.0,0.6936619718309859,0.12841506347282042,0.18199297431079212,0.8732394366197184,NaN,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,32,0.05,3,0.0,0.6830985915492958,0.12841506347282042,0.18199297431079212,0.8732394366197184,NaN,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,32,0.05,4,0.0,0.9612676056338029,0.12841506347282042,0.18199297431079212,0.8732394366197184,NaN,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,32,0.05,5,0.0,0.971830985915493,0.12841506347282042,0.18199297431079212,0.8732394366197184,NaN,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,16,0.05,1,0.08695652173913043,0.9286581663630844,0.23014173514720077,0.2429704872164737,0.8116272009714632,0.25,0.1111111111111111,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,2,0.125,0.9280510018214936,0.23014173514720077,0.2429704872164737,0.8116272009714632,0.25,0.1111111111111111,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,3,0.1935483870967742,0.9269884638737098,0.23014173514720077,0.2429704872164737,0.8116272009714632,0.25,0.1111111111111111,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,4,0.17142857142857143,0.9333636915604129,0.23014173514720077,0.2429704872164737,0.8116272009714632,0.25,0.1111111111111111,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,5,0.16666666666666666,0.9221311475409836,0.23014173514720077,0.2429704872164737,0.8116272009714632,0.25,0.1111111111111111,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,1,0.0,0.957043108682453,0.22681258225022488,0.2293428587025632,0.9259259259259259,0.6153846153846154,0.4444444444444444,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,2,0.2564102564102564,0.9515786278081361,0.22681258225022488,0.2293428587025632,0.9259259259259259,0.6153846153846154,0.4444444444444444,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,3,0.13953488372093023,0.9339708561020036,0.22681258225022488,0.2293428587025632,0.9259259259259259,0.6153846153846154,0.4444444444444444,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,4,0.2692307692307692,0.9215239829993929,0.22681258225022488,0.2293428587025632,0.9259259259259259,0.6153846153846154,0.4444444444444444,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,5,0.18518518518518517,0.9319975713418336,0.22681258225022488,0.2293428587025632,0.9259259259259259,0.6153846153846154,0.4444444444444444,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,1,0.2,0.8817547055251974,0.2464110431228824,0.22460468446411058,0.9178051001821493,0.6666666666666666,0.3333333333333333,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,2,0.1,0.889799635701275,0.2464110431228824,0.22460468446411058,0.9178051001821493,0.6666666666666666,0.3333333333333333,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,3,0.08695652173913043,0.8919247115968427,0.2464110431228824,0.22460468446411058,0.9178051001821493,0.6666666666666666,0.3333333333333333,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,4,0.3333333333333333,0.9061930783242258,0.2464110431228824,0.22460468446411058,0.9178051001821493,0.6666666666666666,0.3333333333333333,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,5,0.20689655172413793,0.9127200971463266,0.2464110431228824,0.22460468446411058,0.9178051001821493,0.6666666666666666,0.3333333333333333,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,1,0.0,0.5979811778992107,0.2335560278057289,0.24961777333790341,0.8664238008500303,0.5714285714285714,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,2,0.2,0.8164845173041895,0.2335560278057289,0.24961777333790341,0.8664238008500303,0.5714285714285714,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,3,0.0,0.7836976320582879,0.2335560278057289,0.24961777333790341,0.8664238008500303,0.5714285714285714,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,4,0.10526315789473684,0.8511687917425622,0.2335560278057289,0.24961777333790341,0.8664238008500303,0.5714285714285714,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,5,0.09090909090909091,0.8403916211293261,0.2335560278057289,0.24961777333790341,0.8664238008500303,0.5714285714285714,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,1,0.16216216216216217,0.6929265330904675,0.26809966827300213,0.24071336292252854,0.868548876745598,0.75,0.16666666666666666,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,2,0.09302325581395349,0.8397085610200365,0.26809966827300213,0.24071336292252854,0.868548876745598,0.75,0.16666666666666666,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,3,0.12,0.8636915604128719,0.26809966827300213,0.24071336292252854,0.868548876745598,0.75,0.16666666666666666,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,4,0.2647058823529412,0.887370977534912,0.26809966827300213,0.24071336292252854,0.868548876745598,0.75,0.16666666666666666,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,5,0.2702702702702703,0.8825136612021858,0.26809966827300213,0.24071336292252854,0.868548876745598,0.75,0.16666666666666666,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,32,0.05,1,0.06896551724137931,0.8225561627200971,0.2135754734291731,0.21550800387092636,0.843882817243473,0.4,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,32,0.05,2,0.18181818181818182,0.8999696417729205,0.2135754734291731,0.21550800387092636,0.843882817243473,0.4,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,32,0.05,3,0.2857142857142857,0.9271402550091074,0.2135754734291731,0.21550800387092636,0.843882817243473,0.4,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,32,0.05,4,0.2777777777777778,0.8855494839101397,0.2135754734291731,0.21550800387092636,0.843882817243473,0.4,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,32,0.05,5,0.18604651162790697,0.9146933819064967,0.2135754734291731,0.21550800387092636,0.843882817243473,0.4,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,32,0.05,1,0.0,0.48512446873102616,0.2745478774499511,0.24028805407637444,0.9275956284153005,0.5714285714285714,0.4444444444444444,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,32,0.05,2,0.08333333333333333,0.9307832422586522,0.2745478774499511,0.24028805407637444,0.9275956284153005,0.5714285714285714,0.4444444444444444,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,32,0.05,3,0.0,0.8938979963570127,0.2745478774499511,0.24028805407637444,0.9275956284153005,0.5714285714285714,0.4444444444444444,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,32,0.05,4,0.16,0.8964784456587735,0.2745478774499511,0.24028805407637444,0.9275956284153005,0.5714285714285714,0.4444444444444444,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,32,0.05,5,0.29411764705882354,0.9099878567091683,0.2745478774499511,0.24028805407637444,0.9275956284153005,0.5714285714285714,0.4444444444444444,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,32,0.05,1,0.0,0.7091681845780207,0.2400818602739218,0.24335361540763287,0.9001214329083181,0.7,0.3888888888888889,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,32,0.05,2,0.0,0.8176988463873709,0.2400818602739218,0.24335361540763287,0.9001214329083181,0.7,0.3888888888888889,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,32,0.05,3,0.0,0.8522313296903461,0.2400818602739218,0.24335361540763287,0.9001214329083181,0.7,0.3888888888888889,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,32,0.05,4,0.14285714285714285,0.8359137826350941,0.2400818602739218,0.24335361540763287,0.9001214329083181,0.7,0.3888888888888889,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,32,0.05,5,0.0,0.8533697632058288,0.2400818602739218,0.24335361540763287,0.9001214329083181,0.7,0.3888888888888889,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,1,0.0,0.7439024390243902,0.029896073120218376,0.0651016829084414,1.0,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,32,16,0.05,2,0.5,0.975609756097561,0.029896073120218376,0.0651016829084414,1.0,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,32,16,0.05,3,0.3333333333333333,0.9634146341463414,0.029896073120218376,0.0651016829084414,1.0,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,32,16,0.05,4,0.0,0.9024390243902439,0.029896073120218376,0.0651016829084414,1.0,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,32,16,0.05,5,0.0,0.926829268292683,0.029896073120218376,0.0651016829084414,1.0,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,64,16,0.05,1,0.0,0.6829268292682927,0.03456017156412005,0.07591774101244077,0.9634146341463414,0.5,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,16,0.05,2,0.6666666666666666,1.0,0.03456017156412005,0.07591774101244077,0.9634146341463414,0.5,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,16,0.05,3,0.0,0.9878048780487805,0.03456017156412005,0.07591774101244077,0.9634146341463414,0.5,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,16,0.05,4,0.0,1.0,0.03456017156412005,0.07591774101244077,0.9634146341463414,0.5,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,16,0.05,5,0.0,1.0,0.03456017156412005,0.07591774101244077,0.9634146341463414,0.5,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,128,16,0.05,1,0.0,0.6646341463414634,0.03537424077685017,0.06876210186131719,0.975609756097561,0.0,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,128,16,0.05,2,0.0,0.6951219512195123,0.03537424077685017,0.06876210186131719,0.975609756097561,0.0,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,128,16,0.05,3,0.0,0.6951219512195121,0.03537424077685017,0.06876210186131719,0.975609756097561,0.0,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,128,16,0.05,4,0.0,0.6890243902439025,0.03537424077685017,0.06876210186131719,0.975609756097561,0.0,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,128,16,0.05,5,0.6666666666666666,0.9390243902439024,0.03537424077685017,0.06876210186131719,0.975609756097561,0.0,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,16,0.05,1,0.0,0.6707317073170732,0.036184848561685426,0.08260070042918094,0.45121951219512196,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,16,0.05,2,0.0,0.6829268292682927,0.036184848561685426,0.08260070042918094,0.45121951219512196,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,16,0.05,3,0.0,0.6646341463414634,0.036184848561685426,0.08260070042918094,0.45121951219512196,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,16,0.05,4,0.0,0.45121951219512196,0.036184848561685426,0.08260070042918094,0.45121951219512196,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,16,0.05,5,0.0,0.6585365853658537,0.036184848561685426,0.08260070042918094,0.45121951219512196,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,32,32,0.05,1,0.0,0.4634146341463415,0.03192846319817328,0.0747868145185057,0.9756097560975611,1.0,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,32,32,0.05,2,0.0,0.46341463414634143,0.03192846319817328,0.0747868145185057,0.9756097560975611,1.0,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,32,32,0.05,3,0.0,0.7682926829268292,0.03192846319817328,0.0747868145185057,0.9756097560975611,1.0,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,32,32,0.05,4,0.0,0.8414634146341464,0.03192846319817328,0.0747868145185057,0.9756097560975611,1.0,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,32,32,0.05,5,0.0,0.9024390243902439,0.03192846319817328,0.0747868145185057,0.9756097560975611,1.0,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,32,0.05,1,0.5,0.6097560975609756,0.0355126377414278,0.0645173964988557,0.7256097560975611,0.3333333333333333,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,32,0.05,2,0.5,0.8170731707317074,0.0355126377414278,0.0645173964988557,0.7256097560975611,0.3333333333333333,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,32,0.05,3,0.4,0.7804878048780488,0.0355126377414278,0.0645173964988557,0.7256097560975611,0.3333333333333333,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,32,0.05,4,0.4,0.7560975609756098,0.0355126377414278,0.0645173964988557,0.7256097560975611,0.3333333333333333,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,32,0.05,5,0.2857142857142857,0.7317073170731707,0.0355126377414278,0.0645173964988557,0.7256097560975611,0.3333333333333333,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,128,32,0.05,1,0.0,0.6951219512195123,0.033746186287340496,0.0849641573011826,0.9878048780487805,0.6666666666666666,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,128,32,0.05,2,0.5,0.9512195121951219,0.033746186287340496,0.0849641573011826,0.9878048780487805,0.6666666666666666,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,128,32,0.05,3,1.0,0.9024390243902439,0.033746186287340496,0.0849641573011826,0.9878048780487805,0.6666666666666666,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,128,32,0.05,4,0.6666666666666666,0.8902439024390244,0.033746186287340496,0.0849641573011826,0.9878048780487805,0.6666666666666666,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,128,32,0.05,5,1.0,0.8902439024390244,0.033746186287340496,0.0849641573011826,0.9878048780487805,0.6666666666666666,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,32,0.05,1,0.0,0.75,0.03277614857169711,0.06290365343559208,1.0,1.0,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,32,0.05,2,0.0,0.975609756097561,0.03277614857169711,0.06290365343559208,1.0,1.0,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,32,0.05,3,0.0,0.9634146341463414,0.03277614857169711,0.06290365343559208,1.0,1.0,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,32,0.05,4,0.0,0.9634146341463414,0.03277614857169711,0.06290365343559208,1.0,1.0,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,32,0.05,5,0.0,0.9634146341463414,0.03277614857169711,0.06290365343559208,1.0,1.0,1.0,0.05,svae,ecoli
